Protein,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46
P51906,60271.1792596192,121991.44807281,135222.910631146,199915.385827431,235230.778572814,163246.150190515,95466.7507238294,89860.0308638405,202268.934457265,129521.52216503,187852.678499574,89451.4507295013,298467.991485679,178612.210465742,189400.042691646,152773.175843412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98525.9661913903,83290.4479284194,56768.4654466592,35013.2259767955,44952.4992198911,38552.7996324268,13328.253272117,42412.4464291263,41876.3141212957,80321.1051403806,51110.5791433673,58430.9963071671,20527.3685504456,41896.5958368602
P51942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46217.6350497795,56455.2276232143,33302.8001266503,28964.4294625318,43630.3668898943,41979.7151553092,47014.5552151943,46609.0463915871,71686.5716313706,83713.6632342096,60901.8778298362,35110.6135080158,63518.6498542091,51613.5774014332
P52196,1415274.65467932,1556756.53883959,1517135.09488603,1371101.09748902,1329926.66330919,1799218.32199224,1595819.94553147,2129682.73147302,1586764.91686303,1466483.35013299,1494084.09411289,875045.025878677,1357692.74322433,1416215.15990589,1698742.65094569,1576697.51992239,2049072.21895927,2317116.70729731,2237385.3751321,2187682.34416114,2197689.21552442,2203835.72691738,2271543.86751211,1873864.91104389,1859893.51505887,1755628.07839539,1700177.80965241,1885384.75089756,2052050.12205812,1565935.31153069,1743114.41517745,1831405.44627066,735361.984028467,809275.983417974,667080.704075363,827056.600315668,621402.195098495,525817.350542266,671636.503074205,732172.759408074,626961.765092846,399771.71051605,594331.830268658,570439.103414184,548687.524147131,564089.709008329
P52480,64053378.7678138,65911797.3169511,65522646.1269618,56790122.8766419,65249526.9186074,60997889.4529076,61008337.740672,64339782.0985097,64168075.7588564,63048079.7976883,73044111.2677413,52243108.4671694,62947572.6404009,71761947.2817984,64337437.1823684,64634805.1645204,42807350.3168719,45293433.5788568,44645543.7868824,43648469.8474458,50888240.5730656,48700834.1439333,47821976.1581496,47743685.7654267,46656757.3206196,49450190.8748034,47604978.6702675,61417836.5822691,50984857.6581841,47172585.4715766,46036098.6572505,46535712.1593365,22123557.8629758,19915446.5158126,20903911.4641128,17215805.4636736,19598667.4799526,22917497.559276,17910306.7486455,19018633.8724293,26182554.2151981,23197762.101046,25065724.6373602,25054240.2563372,25820589.3716297,19307768.5633723
P52503,3233170.54732774,3159032.27472127,2220733.97947085,3025268.22800803,3806915.07372256,3852960.21148582,1122722.8820332,4645763.59566055,3705357.63553179,2354936.76663691,3189126.86755091,4261653.15446475,3815004.40244854,3508831.59021459,3983258.62980369,3319878.62890491,4727067.59423277,4767729.85040598,6109390.20241549,5342993.41747047,5312860.33655905,6070386.80137512,5343186.18228557,6040224.1281521,5112050.17567609,5686284.27613618,6192768.87030969,7103520.3240888,6834140.49460766,5456457.82465042,6268507.6084266,5644331.53932598,1701812.14330583,1502097.23720959,1762486.65285657,1616889.83746664,1625445.04099606,1456439.09722502,1277601.88140338,1241122.11655759,1876942.13952323,1934675.02107538,1605772.98458089,1967928.21390607,1407222.12075382,1754104.46425409
P52760,2159513.91274344,2403413.60382252,2737439.41033783,2105303.62066055,1978265.91167242,3923173.60941722,2542014.072528,7143872.45367532,2057563.29878942,2119443.08997322,1939688.12218165,2476950.69130058,2154355.42726505,2208872.89865918,1679216.87334861,2164286.65778167,4159007.96917475,4796336.22950842,4341957.9197769,4838143.64574098,4331368.06554813,5302979.71789496,5379972.31779183,5671431.56587219,2784526.29111671,3101609.60516519,2823325.57481673,3513671.58121818,2928917.35483185,2771997.2905978,3117493.08868274,3232480.65106789,1719725.95534063,1628678.46506433,1731745.60658581,1977491.16812466,1244359.83999699,1531402.87428807,1476107.78120086,1464345.51881615,770492.634585799,778454.546394786,608039.648429714,727353.203289513,770744.592743147,714261.242279003
P53026,1132219.72374345,905832.021137656,989435.931447409,990731.115604966,1063941.33064736,1105861.01741962,810620.043128375,1087306.37345247,1115966.53493663,1220285.41543913,873733.388370112,1297965.42775576,1200604.32665292,846558.46498852,1044629.10144362,1106626.20963497,1105687.48448792,1039365.1073885,1031853.52917051,1125394.28281366,902546.15356003,1279011.80580027,1057601.39580523,1106377.68683974,1016033.2573693,1053376.84703723,1092235.44135246,1114090.98916674,1057664.60035595,967767.47513853,1000056.02665629,1130867.84387205,386042.649349902,372148.809892938,306385.761165182,372233.631646996,388084.72509906,369464.329810757,413429.580781232,386622.932711824,420340.403515077,376849.020692882,418088.45391222,368444.709652018,411838.400477494,379845.642978763
P53395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122741.454700035,97261.6889482821,140985.92774805,165127.946169855,145090.161801612,129868.891050489,127831.820884284,141536.604983102,87680.6942813465,155080.480258259,147348.743503209,149497.679742888,98534.5653323062,122551.459163271,121794.532855347,167128.256572241,23287.9556452377,270883.827609145,228508.443945939,80611.8458535525,158655.879599616,38981.1640727872,119700.550103447,244652.848875381,150628.549852495,313582.396780938,108683.415419804,88426.7303164843,193654.420287223,194339.63129146
P53612,268414.158646077,225775.217328783,301228.272462878,206107.455299962,185358.528698719,211517.861268356,297980.538501893,282160.496912459,258067.261204097,302930.502253748,269983.617006365,270409.464115784,274904.728999968,235683.56765598,261645.419800831,269311.688185502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41112.1986198619,82784.1230170004,72036.5184278005,105621.292979835,80105.664699806,86850.8902830504,98357.4345613112,95539.6161666634,116717.410356907,100859.835221939,85478.037532873,120503.093274425,91146.6804818528,115468.027682913
P53702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55182.9350056358,54256.7656976201,NaN,63316.5755377406,103910.159996155,49487.9183321181,NaN,NaN,NaN,74028.9839723388,NaN,71701.7534053467,85155.5601312225,NaN,51064.3133164162,82163.0530813231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53810,1549481.73400235,2139402.26097838,2099802.92118283,2149532.68832149,2211003.07775153,2018635.19052788,2075978.1592312,2210556.75925048,2109874.23011457,2023104.76770171,2210545.47257638,1979397.27732754,2019708.21306099,2134891.50970887,1981866.42610331,2085941.43940043,2180943.20334773,1888021.02076077,1859379.62682211,1788009.60820862,2133678.85002371,2341575.45984972,2060023.58835106,1973538.57652494,2295639.9957298,2389604.88448261,2256599.63826593,2618589.93180217,2386525.25208521,2237050.44504384,1933069.19119037,1921474.56657905,842844.856237258,911384.840554132,726513.393532154,865443.193579266,878829.136997872,960607.25750797,795516.124752335,919680.417305263,1167174.10356907,1072781.88372426,1165164.54368979,1048983.76159751,1054771.07583107,1054986.56986793
P53811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141124.803572017,106250.264389835,51010.8623518342,222969.439827478,153481.416696032,140706.968311479,48740.4224202373,55584.2461929021,193119.088623493,38022.1582885903,205678.336461552,177181.420230569,45421.8503406727,51846.4800411754,NaN,67535.0713711894,83881.1603250748,73368.6304328665,113298.611632554,41608.2821498992,132792.976511692,70297.9539884333,55180.8250383158,115928.779205847,84997.333864307,112599.934894392,85479.1726392681,61711.208598195,161529.044190305
P53986,455084.005340849,457012.738302617,541991.015781747,415753.236012799,450512.657195989,552052.841235668,521112.88486824,658674.026231951,518750.06897445,542705.882129507,614234.572024189,616533.578183987,549809.457999936,607704.266377526,579915.594633184,551354.474357954,729347.982886987,940196.32650006,745795.125044032,1135911.98639136,922816.102635254,816599.84524171,1002422.19254583,991752.971536524,547340.091574467,642754.946479201,297788.719387604,515148.055674537,976305.78494395,785885.547650183,911782.924862049,1020783.36349512,133457.899659247,192403.466339206,261298.89330141,110274.213375423,106548.311299742,322344.241371125,297012.586915037,187507.65789719,132490.033378111,280573.723435577,309405.038492415,205462.108676537,91792.1952161436,81774.0786213416
P53994,5258477.38074814,5562445.8785438,4375505.56351187,5192492.54339389,5244898.27842563,5046587.97631969,6199689.87688774,4259365.46294604,5449055.34637027,5031001.27417885,5749165.69547534,4553695.3757098,5318564.96106061,5464054.01247271,5350063.06159907,5258922.78384053,4737211.51610881,4939368.1250206,5261431.361612,4385882.39189998,5131497.63430702,5873615.75432892,5278810.44514959,5721268.39861272,4166161.47373186,4740195.81166755,4791410.19083861,5332401.31566987,4293937.48007756,4688079.62830926,4905302.745275,4823701.77651617,2158614.35019319,1527413.48278054,4180782.29282255,2012388.07109157,1835430.76399555,1874094.42657631,1656703.3742497,1857218.70679121,1727102.2208218,1934675.02107538,1635146.8806403,1768534.60632969,1652517.7197843,1665768.26821251
P53996,314776.6042304,225775.217328783,256153.968919163,267143.568672054,311701.561713093,337024.310070741,271148.16773632,473562.362652439,282479.029155836,295437.52163263,261246.283122663,346124.114068204,253585.586750991,288527.4169062,277266.041878492,303587.721227293,390540.992227386,513007.731903684,609917.383083955,403879.817383595,474743.544130276,463395.81579379,587658.514712646,518303.0605015,547340.091574467,547170.751099896,606911.957506224,643697.015963006,496288.774013175,583578.376967958,606737.902205996,348267.265192454,84105.3475033777,67594.3756744316,92530.5492749698,102480.571712813,111214.660699731,96489.0901911572,107461.840491873,116969.062783485,136433.189133412,101776.742814866,111620.805025745,119636.164545832,117483.681640915,142599.859324253
P54071,793041.832363409,1301849.03540387,1088379.52459215,1291488.77569933,1196933.99697828,930327.522591108,893941.615505681,715285.84567617,1333928.74879145,1327327.9957408,1729992.10897282,915065.626567813,613766.884746867,1052649.47706438,962620.835535891,1165385.1234209,1592595.73453765,2002446.53717051,2094356.17306885,2050952.19765107,1642932.71451826,2243189.93632662,2170381.99486986,1863897.54449578,1806753.7003429,1862916.46096399,1452879.21915752,1733030.42759271,1762774.33392658,1410314.4110059,1284988.19067568,1661274.88568814,865237.121280755,802524.984599056,599450.402279705,613022.262118646,681287.012398349,865296.169527802,583577.494893365,782174.80151399,717654.347464767,520803.512782377,710848.284637639,728220.132018107,744924.003371517,701641.785701635
P54099,225711.906134201,261280.191021616,266048.328233637,163647.550345463,185358.528698719,238725.552966775,209010.045963414,295639.501542035,334789.96048099,208733.031588272,227170.680976229,324491.35693894,108727.625469783,194465.365240809,241143.3533239,398581.298514543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P54227,5295079.31147261,2967851.64714448,3485013.22520921,2644898.24612397,3407937.07472981,3098166.18372322,4321423.92329761,3127129.07406165,2946849.13131704,3800011.60070956,3521145.55513155,4780839.32556706,4611667.08648926,3582812.97916489,3251041.96991331,3447189.60877442,3489509.12535638,3022740.7251574,2206736.26040426,2261306.26920502,1717611.47426909,2587539.26865747,1995647.85121509,1923701.74378442,3113993.14235571,2457879.30975354,1751698.34933885,1942517.62213688,2241887.35801944,1964713.86912546,2357673.98463104,2461889.28842942,861654.358873795,1308006.02116565,1198900.80455941,1454037.62362108,1275468.83599691,1188711.32199983,1150737.20860047,955396.161666634,1159287.79205847,897652.533475259,1439320.90691092,901605.877736703,778490.769554636,1312423.48404622
P54285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54278.8504654386,52489.0158170991,74495.8021294608,66653.0846667901,61206.9496298517,47548.4528799931,77014.3190191754,72681.5397753869,68768.636372448,80229.4143810879,92136.1206396717,77416.7354633535,100442.09265564,69280.8166097478
P54320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143029.298452107,126821.614020799,97975.0034133186,101811.370632115,109884.460776221,138723.588167567,141626.621699135,118611.661922459,NaN,124844.663352561,141166.278740837,79605.1339267861,113902.341576794,146867.224870269,105927.722153091,156119.808534548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P54728,1073656.63458431,1010526.17433447,1220304.3154518,560824.577940668,1005757.03912758,1132191.0416439,1266770.34614312,952516.327156708,1229306.88614114,1284510.96362013,1135853.40488114,1481843.8633545,1324030.93967331,671116.88547779,1112969.32303338,1155591.97112324,362138.010974485,336601.727438662,317729.15601191,267149.670873524,265643.016827952,201690.32322235,251985.028217942,293040.57651431,301834.147586696,201897.22901547,227720.78541405,194251.762213688,252212.327777187,249966.071467942,315101.451974384,273209.664935459,461280.659896054,421093.551330104,485708.531077915,390845.313229346,381862.925899075,380173.440819765,392534.222907813,457161.52782553,505512.567829577,512551.344446036,469003.207081858,435198.221753678,388599.870043028,530017.176249437
P54775,330637.440877668,381450.871212742,540891.642524584,559055.415234231,705692.335718442,614367.231899788,355881.97015392,639803.419750545,693119.8400583,445297.13405498,509386.565419775,453206.261858054,593569.802616258,510471.583757123,417851.640577446,473988.571206483,398656.129728214,464376.887429543,516948.401742849,506953.312445033,559023.858706213,472250.512910868,467183.920929615,529267.163704416,377292.68448337,389164.224044311,544056.899088771,537048.989649608,455609.366307177,567043.656287199,522934.324553234,524402.433795534,383355.577544683,264132.828790226,222360.234691788,179137.435230117,554517.853698657,239884.086601767,45671.2822090459,318763.018425223,310720.673517712,297078.060108258,341716.324157762,371912.42456639,194945.449755804,213268.816157511
P54822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205921.61408353,194523.377896564,159375.396584752,174593.879389783,105510.419133672,123965.759639103,NaN,153497.444840829,233815.184750258,107288.382568607,173109.013346427,177111.900841892,174469.459716836,133250.39607435,182133.108765336,160122.880548255,49979.5355770871,81265.1482827436,86279.8698665831,57463.566885505,47907.8538398839,40908.8040544085,81939.653375053,76788.8503769443,67427.9634156457,95358.3896643789,52383.4479726083,58951.153544323,94116.0482595904,44925.2654154284
P54823,661274.881755335,682787.9556314,334209.470177792,559939.99658745,585998.936020614,710032.986581327,804971.1229672,997446.342588628,479516.870480585,475269.056539449,532103.633517397,555961.858222051,375890.139653017,636239.944972646,247977.375482877,594444.344467634,693844.256320862,925893.136948842,809136.628814895,823536.190133736,868407.29195965,768390.938715392,575703.020673109,771474.170823387,620673.035882502,905123.809306066,983011.897217212,634174.870756454,574935.628911438,734336.124351347,673780.764328205,566434.689939451,180033.810949722,183964.717815556,180347.471455091,338499.958778986,273759.164799337,281649.619536896,277609.754604005,219651.827822422,274443.640568944,201719.670443878,299613.739805947,79237.2857933987,291772.659899415,321796.142722872
P54830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84015.7784432038,82868.5105022369,76442.7350599417,80960.8148832216,106548.311299742,74642.503732782,107163.335379395,96432.5097756975,175076.115535361,97192.2048502323,88121.6881782196,98829.8750596001,121873.181834092,80764.5220951521
P54923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456476.484421619,711345.293680574,610939.020241549,1012854.8545323,901479.314135017,517507.853731494,336593.13988236,520296.533811121,399611.406664077,451586.555720592,822267.81339553,212343.83810614,193453.183312968,537864.737438802,764288.628193189,507389.377737282,95838.8943861707,78395.9737847027,100625.691459602,157036.063351076,125213.708899697,94133.0857691756,131491.502046305,142862.977445478,201889.574671407,91048.9239776233,183097.285436967,167317.244618446,138140.153138219,169100.718136725
P55012,623452.886673389,1174395.28368601,1231298.04802344,871312.632920439,754733.381427968,1105861.01741962,802146.662886615,2021850.69443641,1290336.30602048,1273806.70558996,1363024.08585738,1103270.6135924,967215.82203254,1109720.83425461,968478.568815015,1586490.67222005,932226.420407707,1354035.2775153,1266830.07541726,1451443.09372229,963356.000785705,1603684.03342649,1186352.87007717,1166181.88612838,1126564.07197851,1424009.44136515,887183.69340044,457062.969914561,1518697.88769059,1108798.91623912,1620202.50128673,1120860.16383778,287516.683158512,308014.321113202,264372.997928485,440864.20748191,275314.614599333,340549.730086438,234326.513294778,235723.912785038,245264.287979717,265903.201948749,423963.233124101,312961.271022067,352451.044922746,256174.968520561
P55066,2342523.56636576,2385205.92500569,1934896.93260827,2255682.45070774,2144506.74458608,1755334.94828511,2471402.57051334,442111.351850096,2467332.26083646,2376345.28269724,2280444.14364599,2228173.98431406,2188017.23081607,1986928.73180826,2587165.53161269,2399322.31292538,3469221.28160431,3375552.73408744,3422484.47794179,3334112.0341302,3477896.52553865,3286076.48567146,3641827.41512062,3189557.29539385,2540083.14342325,2448125.82042912,3390051.51136754,3466060.85518542,4086020.50735802,3462565.03667655,3597966.93389191,2782135.04952592,1218139.21836628,1097037.30807442,1147665.72744149,1174862.39988583,1057705.86399744,1039854.67897462,1053723.04704531,937538.289485948,1048879.43091004,1219487.09859254,952693.362193419,996968.037881931,938578.42365874,1325042.94062359
P55088,324537.119090257,302247.4683595,377085.027207179,273335.638144585,253517.270193315,475695.770985265,211834.506044,552639.189812619,481260.568191423,430311.172812745,276099.750724955,387226.352613803,342228.336102001,262105.49228109,283123.775157616,420126.233569383,1369429.45326486,1516138.0924291,1501806.62166401,2387518.7121374,1386891.25251541,2105450.20339429,1425462.75086792,1076475.58719542,1200959.81258087,1209432.67622793,1349838.13978464,1171223.86040606,1129983.54738883,916218.051839695,820157.679961696,1701305.60582521,191677.788772341,311389.820522662,314583.37350405,169831.594438942,160989.05429961,205614.931372943,205968.527609423,177685.828197813,109619.729997365,137536.138939008,133161.662135976,117035.378360053,165251.77197843,315486.414434188
P55194,220831.648704273,251265.967672355,222073.397947085,213184.106125712,179540.099546741,161490.81524223,265499.247575147,155457.853394444,202268.934457265,229071.121845591,265614.950064514,111408.699215703,262562.067697929,275844.893086147,220641.286846969,201738.937331685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195777.692207495,381418.388032479,348378.270739746,393362.113805897,415000.536329611,361074.871329768,377057.888939256,383743.612102073,347534.388242428,406720.504828265,320457.756849636,380885.808262134,367922.643029804,339448.089269695,355327.169247711,347266.497189027,139727.733871426,101264.982283792,122964.185083016,158199.293449973,128324.608499689,158494.842933311,147909.283232564,104468.552257006,124603.721867509,117364.17189462,165472.947801323,149978.670046586,151050.447824034,148909.587612937
P55264,678355.782760085,589018.409724688,827828.062644333,687319.711450946,698211.498237327,827640.428116429,895353.845545973,1015418.3487614,662605.130118626,659382.294658334,712966.444910011,679268.573858849,641818.387706048,703880.072012927,681449.638137984,617947.909982006,301274.479718268,259364.503862086,125661.370384132,238751.87121374,258175.140852869,310898.254332988,411085.064282555,133562.711744617,112656.407197851,242861.884178029,297788.719387604,242814.70276711,291987.748645274,101153.585341113,98329.531112574,232178.176794969,346632.262873346,415186.42736355,333028.001266502,361764.560756924,300979.536299271,345904.285590941,391041.697345426,380372.677448585,289427.632439087,265903.201948749,269260.713877893,256610.903663523,322757.367145371,291509.44693719
P55302,512427.030142511,386913.174857793,417761.837722239,479443.093444546,498722.498740947,525722.817011391,405310.021564187,415153.342590943,458592.497950523,453860.540479114,419392.026417653,429410.229015865,370279.839061181,421693.917016753,482286.7066478,450485.005692112,483865.073486916,507286.456083197,726384.019049735,830898.582638124,634769.457882053,659183.007604753,745838.897389602,573123.576516082,285892.203171906,717856.814277226,684192.76703588,950310.091614025,729517.378194229,617620.448957755,511760.514199533,716549.890453439,116439.778226189,83796.7728398383,136285.305133676,108878.337256746,100326.512099757,121012.954401784,110297.639060408,112504.594738314,126180.984169629,77478.6916023078,108683.415419804,76983.2710990569,104831.592848817,98305.5667376932
P55937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75065.0218826663,NaN,66917.2338224439,NaN,NaN,36304.258180023,105760.139580523,68376.1345200056,NaN,53839.2610707919,NaN,56180.6567186648,103958.486359773,57676.9962569999,69836.3147106349,54041.4721850359,35379.7787687265,42446.9050739564,38221.3675299709,25125.7701361722,45108.0441998908,49797.3661918847,53432.415133459,45180.4166171324,51339.8879340179,54739.3832977252,16841.0337407264,52969.3453170313,43895.0019317705,44799.0708496547
P56135,5038865.79640136,5079942.38989761,4650348.87780282,5130571.84866858,4638119.23829081,5502975.06287383,6580991.98776694,5930762.03701348,5021849.40721485,5159452.37054086,5417147.00789469,4045325.58317213,4151622.4379587,5083578.29787113,4735001.06729115,5268715.93613818,3621380.10974485,3594868.30720611,3882221.19885934,3639125.43788343,4043321.42079494,3630425.8180023,2979676.97600778,3937109.78650179,3018341.47586696,3930656.19774079,3833128.15267089,3513671.58121818,3398990.51054561,4085048.63877571,3754400.27884374,3682826.25260986,1343535.90260987,1392393.50640215,1280876.92794809,1120190.58523768,1314355.08099682,1295802.4320899,1144767.10635092,1276837.86091896,1932146.32009745,1723786.27470223,1439320.90691092,1855227.47918899,1445953.00481126,1526954.24586147
P56212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17913.8120347982,43881.4923229768,56358.5848297158,NaN,48374.4887798828,NaN,69999.4488759559,31161.9869552948,41087.6829702355,42452.8215525071,27807.2882695715,NaN,44798.7225597776,27510.4153386612
P56375,303796.02501306,219402.52974289,207781.545603956,235298.63995618,235230.778572814,394072.695890007,234430.186688694,501418.97222023,262426.505481193,351099.663389503,202706.146101866,385063.076900877,389354.861073424,274788.016101142,231380.464525362,218387.296237698,267799.53752735,277481.877293628,187981.2369974,265046.130157984,309383.433253438,227270.559338355,319119.725516883,333906.779361543,218936.036629787,299432.122259658,228751.196207779,304708.646609708,383290.419274292,305406.017279898,322923.119221976,244187.392836088,142414.805676646,145146.474606769,154729.932896129,154709.603153282,151656.355499633,136005.709814395,142834.696320448,98218.296993766,184539.689348083,134785.416160228,175264.246487792,154313.313689551,151050.447824034,195601.576949197
P56376,1293268.2189311,1274537.51717861,1385210.30402637,1149955.75918434,1205246.03862396,1693898.22509513,1261121.42598195,2471150.84875561,1299054.79457468,1370145.02786148,652678.841112474,1352047.32057892,1402575.14795902,1204839.76290501,1435144.65338515,1351455.01707633,1612883.57828972,1516138.0924291,1368993.79117671,1241089.02216834,1226865.33876363,1269173.25344796,847920.423419499,1455235.51602344,1211587.77552406,1111897.78298375,1092235.44135246,990303.101481548,1175182.88928438,1468672.24870269,1687245.36340894,1210929.28414617,419183.201614279,490291.289224028,504153.158840368,449006.818174189,458079.96609889,444428.10687381,465667.975464782,474126.506397179,485796.789053072,586820.859473101,481731.895374267,416992.718453225,530613.11158699,533803.013222647
P56379,1054135.60486459,1092460.72901024,1363222.8388831,1008422.74266934,1022381.12241894,1228734.46379958,768253.141919575,1554578.53394444,1551890.96264626,1220285.41543913,1258176.07925296,1568374.89187155,1469898.75506105,999805.627814156,1288701.32140707,1371041.32167164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P56380,269634.223003559,217581.761861206,296830.779434222,283950.614383209,206138.632812925,247502.2277082,319163.989106293,291146.499998843,288581.97114377,232282.399254641,193095.078829795,311511.702661383,221045.843318342,217716.658910905,181589.731652815,306525.666916589,90788.1007905221,111564.8784995,143029.202063239,92660.9685195174,114151.818476269,109207.931110638,148983.848800389,128579.028470565,84704.8646572525,118017.220825468,127770.938422363,99982.5246688102,123846.196793816,91719.0682467974,72853.2435061344,132101.37645231,223026.959833238,173838.219587177,137310.006676035,183790.355625704,189764.87559954,207756.753574745,211938.629858971,193757.913160429,190848.738556564,154040.475611689,194846.84386073,127438.523103169,182035.155069989,194339.63129146
P56382,3294173.76520185,2476244.31908988,2462596.09604688,2759893.82204241,2593356.99345293,3106942.85846465,2090100.45963414,3351779.15122125,2685294.47469128,3082826.31268832,1896001.45276314,3785732.49762098,2625620.67697929,1944653.65240809,2391907.75564192,2928152.53699873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,883150.933315552,637969.388387893,670154.808702438,1150434.567809,878829.136997872,812821.525583665,950738.783240596,715207.780836424,1135628.85752666,865560.767722823,1086834.15419804,953621.601452282,992801.661339163,1135751.09196308
P56387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,735434.336012609,771418.689795688,911300.344574351,890849.493031003,680643.553157564,644425.179076289,879188.638599828,933942.245557511,738643.42455195,740289.839723388,821237.402601801,659884.662814147,840707.759257291,807283.421472342,721828.148849123,801615.1707447,77298.0989301544,23966.0458071642,63531.4956262251,56532.9828063875,89438.3634997834,111374.754493678,177610.541924067,163399.530453265,107253.836544185,90957.2332183306,74609.6959908925,96229.0888738212,175580.007727082,189291.848660513
P56391,8503848.57165071,13382643.9303754,10301127.4196247,10614976.2386247,11803099.1368691,12638411.6276528,10012710.9856798,17163265.8949935,7245063.98853392,9623127.96912083,13368120.8420627,10340457.9077876,11445013.2073456,11942709.9305497,10739177.6783923,10968330.5733731,12274145.4700035,11347197.0439663,12872628.1856915,12831598.3647913,13228808.870147,13183660.1520951,10851909.9743493,13057250.1780186,11371920.3492171,12289396.5487677,14425751.1122023,10379138.2751431,10034253.9008128,13811354.921575,12291191.3890717,12409523.2424897,3743986.71527283,4084354.2854463,3381515.08978295,2966236.75218699,3243112.83299215,3148478.63664819,2223863.08795681,3768011.03012448,3990473.62436453,5253880.50747011,3867562.9811552,4039887.87524331,3627792.80671397,3760598.06005553
P56395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,942370.342283742,887751.298145595,876564.681216137,864555.234086757,813998.481284045,628683.495312594,928849.921533289,866164.153030391,1060670.70173072,687620.997371528,712013.858466555,747488.398714437,677086.141595388,777131.871995664,759819.104051708,780599.042672742,274081.324132413,344300.939764894,303311.656538107,281501.68393304,293980.012199288,250593.197610775,304475.214726973,250903.104138621,268923.222511522,246648.142497288,329966.765734,260945.547306488,302100.895648068,200649.359580144
